RA(deg),Dec(deg),VTMag,Altitude (deg),Azimuth (deg)
1.05951147,-26.95235161,10.8,1.6651984879513153,118.04544113408038
1.06083408,-34.41465369,8.41,-0.23727302005093281,125.26164416937075
1.06304747,-17.42485068,9.05,4.0472620920990705,108.8088526441135
1.06385875,60.15501928,8.79,14.761797119659825,30.60100400328621
1.06601848,14.08162325,8.88,10.85529114066085,77.76014443383346
1.06656723,65.1529611,7.59,14.620368432745645,25.436026905309305
1.06725539,-25.91498946,9.6,1.921382482511024,117.03974778684497
1.06734897,66.34913841,10.66,14.569635970872552,24.201053386090344
1.06871389,-59.31518062,8.55,-6.388532720562494,149.44183466218269
1.07383315,-43.98832631,8.11,-2.675826002966486,134.52271654458042
1.07749772,-23.25395215,9.44,2.583682306587733,114.46056313458755
1.07898302,-20.5687452,9.6,3.2543554821499865,111.85720623771037
1.08233885,-16.52888969,5.78,4.249180169752251,107.93349669537484
1.08364803,40.10995515,10.66,14.159578995435917,51.29981323500157
1.08457463,-29.26883006,6.38,1.055220992118045,120.28079193191928
1.08780834,-53.90948292,8.8,-5.125369558440756,144.15929853336087
1.08869988,54.27460172,7.79,14.765422813065573,36.682442887818404
1.08880039,12.95705512,8.6,10.63410625306137,78.88261530299395
1.09539438,-29.38157885,7.77,1.017418034235472,120.38744367753101
1.0993091,-57.32287483,10.37,-5.940729699677318,147.48924837758358
1.1026229,-47.06812971,9.8,-3.46408961452675,137.5041359125565
1.11010195,58.06878245,10.42,14.76199807039477,32.75862213959679
1.11103092,-44.56734318,11.63,-2.8467248453254936,135.07719025988797
1.12334321,51.8293046,9.22,14.703850704434513,39.21020595734165
1.1255098,-10.50949443,4.99,5.656491935229951,102.05896117742935
1.12570193,-6.96533727,8.43,6.481893483877498,98.59295678258151
1.12719406,-72.8972207,7.33,-9.344131195535976,162.8257940145547
1.13935928,-76.34653399,8.93,-10.015559616198168,166.25786876423373
1.14426919,-76.87353696,9.09,-10.115650020797183,166.78334526863213
1.14551227,71.96854252,9.26,14.22256899374381,18.410209457917457
1.14780002,-71.69499867,8.73,-9.109586708072827,161.63125580624805
1.15064352,-19.43786312,9.18,3.4699777400243637,110.74316926648403
1.15170942,43.55131855,8.12,14.341302386125642,47.75374543927415
1.15203505,-15.88920125,9.26,4.340478124550017,107.29506804255755
1.15246785,-31.16905083,8.94,0.515164516010004,122.10367122382405
1.15248379,42.09256148,6.11,14.248067384901663,49.25602887050117
1.15561443,-81.34531911,9.13,-10.922501498251687,171.2567971794348
1.15607578,2.93722463,7.9,8.624443855419008,88.83990270524441
1.15890684,29.72229656,9.34,13.088364746760368,61.932324047508324
1.15940288,-51.58336438,7.13,-4.606970579776898,141.88317975682656
1.16032911,-50.03593839,10.82,-4.231422366133436,140.37762199408598
1.16559564,-70.40421693,7.46,-8.85291151380228,160.35059708817286
1.1659799,-8.18490648,8.72,6.161529592711099,99.77752273283892
1.16704444,34.26519797,7.02,13.580630719688374,57.29102237082108
1.16729373,34.27150566,9.08,13.581059948212351,57.284544896026475
1.171564,6.52258527,8.37,9.337896237408438,85.28269214376508
1.17188841,-71.43685835,5.59,-9.064950074179277,161.37366915787624
1.17191906,14.96533616,7.37,10.908299560742234,76.85585108683416
1.17432297,67.16638761,5.68,14.490008198606997,23.35967365672922
1.17796311,17.06977988,8.56,11.259308331849049,74.74149120498721
1.18518654,51.53385066,8.72,14.658541661077615,39.51461200493564
1.18816317,-32.36102308,9.06,0.1828681816517508,123.24874790412035
1.18887204,0.05649086,8.82,7.983348896385096,91.67825085638347
1.19286162,1.53694172,8.18,8.294972220723341,90.2162932540008
1.19515384,38.17382611,9.39,13.919436835872107,53.28214338721064
1.20394853,68.1886971,9.1,14.42880854271442,22.305732096546382
1.20814095,38.78622411,8.46,13.960157247382545,52.65247711390018
1.21025761,6.41668139,9.15,9.27918584743604,85.3801314989606
1.21171086,-29.63304603,8.28,0.8556651093385834,120.60498469841619
1.2117523,50.23487696,11.67,14.60562456081439,40.85612971788522
1.21196013,43.97079063,8.18,14.322912990486685,47.31889107667203
1.21651501,30.08593131,7.93,13.081892969412815,61.555556429643026
1.21827175,51.98257157,9.21,14.648794957763569,39.05042934653074
1.22172791,34.65955259,6.09,13.575203114271664,56.882729532796596
1.22216274,-30.25661295,8.31,0.6888518181027525,121.20591420008594
1.22460634,-31.99660262,7.83,0.24555077416648388,122.8884531422668
1.22530082,52.2489413,8.72,14.65048602448885,38.77507730474021
1.2290269,58.53217392,6.61,14.69649003013805,32.279911659215486
1.23302998,26.64879958,6.25,12.63810270206235,65.0516158097093
1.23366004,23.26964739,7.82,12.170910257683493,68.47827356786541
1.23422583,56.0569593,8.66,14.696125377936037,34.83888234017063
1.23494365,64.78140759,8.15,14.56301296188771,25.822446098926928
1.23720433,-18.17850304,8.97,3.701250603519454,109.50014731450524
1.23950992,51.18064908,8.15,14.61549070120652,39.878632671970976
1.23961728,45.67395209,7.47,14.397880626929524,45.56238516618051
1.24392487,26.72525618,8.63,12.638512950119654,64.97263082892556
1.24427458,-70.21220744,8.13,-8.839612033507159,160.15490411050865
1.24502692,57.46874679,8.23,14.692412541281678,33.37933566510871
1.24608894,-70.49241628,8.41,-8.897277119754019,160.4324201136524
1.25472644,27.67479979,6.47,12.752120137840349,64.00625043008806
1.25663332,33.36001239,9.83,13.413489600256845,58.20909599399495
1.25755802,66.5167896,8.64,14.486331296132056,24.031460310251216
1.26034142,-36.01527326,7.73,-0.8016979604150432,126.7682631730617
1.26224739,-59.82810463,8.64,-6.601474213212769,149.92170182580062
1.26379805,9.28002796,8.94,9.784944731612278,82.52192421255519
1.26440114,1.03782858,8.84,8.119292956490643,90.69377911857636
1.26581912,-0.50290553,6.32,7.787662791913706,92.21295506614764
1.27555231,61.31396468,5.8,14.637857496628186,29.40490275652174
1.27871117,-42.56781669,8.97,-2.464490803430789,133.10877408788272
1.28166779,-52.15142338,7.53,-4.81707645144593,142.4181027904535
,,8.83,,
